_id,category1,category2,maker,category3,standard,vehicleType,year,mainPrice,privatePrice
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2008 8,600,000 8,600,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2008,"8,600,000","8,600,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2009 9,400,000 9,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2009,"9,400,000","9,400,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2010 10,000,000 10,000,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2010,"10,000,000","10,000,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2011 11,100,000 11,100,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2011,"11,100,000","11,100,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2012 12,700,000 12,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2012,"12,700,000","12,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2013 13,600,000 13,600,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2013,"13,600,000","13,600,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2014 14,500,000 14,500,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2014,"14,500,000","14,500,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2015 15,400,000 15,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2015,"15,400,000","15,400,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2016 16,700,000 16,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2016,"16,700,000","16,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2017 18,100,000 18,100,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2017,"18,100,000","18,100,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 2.5톤 (2.5T) 삼익하이코2.5톤지게차 (HI01A) 2018 19,700,000 19,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,2.5톤 (2.5T),삼익하이코2.5톤지게차 (HI01A),2018,"19,700,000","19,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 1999 3,300,000 3,300,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),1999,"3,300,000","3,300,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2000 3,900,000 3,900,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2000,"3,900,000","3,900,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2001 4,700,000 4,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2001,"4,700,000","4,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2002 5,900,000 5,900,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2002,"5,900,000","5,900,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2003 7,400,000 7,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2003,"7,400,000","7,400,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2004 8,200,000 8,200,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2004,"8,200,000","8,200,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2005 9,500,000 9,500,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2005,"9,500,000","9,500,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2006 10,300,000 10,300,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2006,"10,300,000","10,300,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2007 11,200,000 11,200,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2007,"11,200,000","11,200,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2008 12,100,000 12,100,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2008,"12,100,000","12,100,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2009 13,200,000 13,200,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2009,"13,200,000","13,200,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2010 14,100,000 14,100,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2010,"14,100,000","14,100,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2011 15,600,000 15,600,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2011,"15,600,000","15,600,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2012 18,000,000 18,000,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2012,"18,000,000","18,000,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2013 19,200,000 19,200,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2013,"19,200,000","19,200,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2014 20,400,000 20,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2014,"20,400,000","20,400,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2015 21,700,000 21,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2015,"21,700,000","21,700,000"
